,ds,location,Area_Marla,bedrooms,bathrooms,yhat
76,2022-04-27,"D-12, Islamabad",4.4,4,4,27595566.892117888
77,2022-04-28,"D-12, Islamabad",4.4,4,4,32816317.04038142
78,2022-04-29,"D-12, Islamabad",4.4,4,4,29129210.07736139
79,2022-04-30,"D-12, Islamabad",4.4,4,4,27643058.453808904
80,2022-05-01,"D-12, Islamabad",4.4,4,4,27658889.023034014
81,2022-05-02,"D-12, Islamabad",4.4,4,4,31713539.58685928
82,2022-05-03,"D-12, Islamabad",4.4,4,4,34934406.94910517
83,2022-05-04,"D-12, Islamabad",4.4,4,4,27706380.40553473
84,2022-05-05,"D-12, Islamabad",4.4,4,4,32927130.553793028
85,2022-05-06,"D-12, Islamabad",4.4,4,4,29240023.59076693
86,2022-05-07,"D-12, Islamabad",4.4,4,4,27753871.96723218
87,2022-05-08,"D-12, Islamabad",4.4,4,4,27769702.5364572
88,2022-05-09,"D-12, Islamabad",4.4,4,4,31824353.10027521
89,2022-05-10,"D-12, Islamabad",4.4,4,4,35045220.46251206
90,2022-05-11,"D-12, Islamabad",4.4,4,4,27817193.91894701
91,2022-05-12,"D-12, Islamabad",4.4,4,4,33037944.06721451
92,2022-05-13,"D-12, Islamabad",4.4,4,4,29350837.10419485
93,2022-05-14,"D-12, Islamabad",4.4,4,4,27864685.480642553
94,2022-05-15,"D-12, Islamabad",4.4,4,4,27880516.049864143
95,2022-05-16,"D-12, Islamabad",4.4,4,4,31935166.613691144
96,2022-05-17,"D-12, Islamabad",4.4,4,4,35156033.97591895
97,2022-05-18,"D-12, Islamabad",4.4,4,4,27928007.432369925
98,2022-05-19,"D-12, Islamabad",4.4,4,4,33148757.580631062
99,2022-05-20,"D-12, Islamabad",4.4,4,4,29461650.61760039
100,2022-05-21,"D-12, Islamabad",4.4,4,4,27975498.99406815
101,2022-05-22,"D-12, Islamabad",4.4,4,4,27991329.563303575
102,2022-05-23,"D-12, Islamabad",4.4,4,4,32045980.127104893
103,2022-05-24,"D-12, Islamabad",4.4,4,4,35266847.489343956
104,2022-05-25,"D-12, Islamabad",4.4,4,4,28038820.945784487
105,2022-05-26,"D-12, Islamabad",4.4,4,4,33259571.094039407
106,2022-05-27,"D-12, Islamabad",4.4,4,4,29572464.131017115
107,2022-05-28,"D-12, Islamabad",4.4,4,4,28086312.507463306
108,2022-05-29,"D-12, Islamabad",4.4,4,4,28102143.076692298
109,2022-05-30,"D-12, Islamabad",4.4,4,4,32156793.64050678
