property_id,location_id,page_url,property_type,price,price_bin,location,city,province_name,locality,latitude,longitude,baths,area,area_marla,area_sqft,purpose,bedrooms,date_added,year,month,day,agency,agent
16927928,160,https://www.zameen.com/Property/islamabad_d_12_the_best_portion_for_living_purpose-16927928-160-4.html,Upper Portion,85000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,1 Kanal,20,5445.02,For Rent,3,6/28/2019,2019,6,28,Al Abraj Associates,M. Yousaf
16927932,160,https://www.zameen.com/Property/islamabad_d_12_the_best_portion_for_living_purpose-16927932-160-4.html,Upper Portion,60000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,14 Marla,14,3811.51,For Rent,3,6/28/2019,2019,6,28,Al Abraj Associates,M. Yousaf
16928050,160,https://www.zameen.com/Property/islamabad_d_12_a_beautifully_built_portion_at_good_location-16928050-160-4.html,Lower Portion,60000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,1 Kanal,20,5445.02,For Rent,3,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928054,160,https://www.zameen.com/Property/islamabad_d_12_a_beautifully_built_portion_at_good_location-16928054-160-4.html,Lower Portion,45000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,14 Marla,14,3811.51,For Rent,3,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928056,160,https://www.zameen.com/Property/islamabad_d_12_a_beautifully_built_portion_at_good_location-16928056-160-4.html,Lower Portion,38000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,2,10 Marla,10,2722.51,For Rent,2,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928063,160,https://www.zameen.com/Property/islamabad_d_12_a_beautifully_built_portion_at_good_location-16928063-160-4.html,Upper Portion,70000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,1 Kanal,20,5445.02,For Rent,3,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928070,160,https://www.zameen.com/Property/islamabad_d_12_a_beautifully_built_portion_at_good_location-16928070-160-4.html,Upper Portion,55000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,14 Marla,14,3811.51,For Rent,3,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928076,160,https://www.zameen.com/Property/islamabad_d_12_a_beautifully_built_portion_at_good_location-16928076-160-4.html,Upper Portion,45000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,2,10 Marla,10,2722.51,For Rent,2,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928079,160,https://www.zameen.com/Property/islamabad_d_12_a_beautifully_built_portion_at_good_location-16928079-160-4.html,Upper Portion,38000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,2,8 Marla,8,2178.01,For Rent,2,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928082,160,https://www.zameen.com/Property/islamabad_d_12_a_beautifully_built_portion_at_good_location-16928082-160-4.html,Upper Portion,32000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,2,5 Marla,5,1361.25,For Rent,2,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928089,160,https://www.zameen.com/Property/islamabad_d_12_a_beautifully_built_portion_at_good_location-16928089-160-4.html,Upper Portion,25000,Low,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,2,4 Marla,4,1089,For Rent,2,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928093,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-16928093-160-4.html,House,160000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,6,1 Kanal,20,5445.02,For Rent,6,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928096,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-16928096-160-4.html,House,120000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,6,14 Marla,14,3811.51,For Rent,6,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928098,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-16928098-160-4.html,House,100000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,4,10 Marla,10,2722.51,For Rent,4,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928101,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-16928101-160-4.html,House,75000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,4,8 Marla,8,2178.01,For Rent,4,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928105,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-16928105-160-4.html,House,65000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,4,5 Marla,5,1361.25,For Rent,4,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928109,160,https://www.zameen.com/Property/islamabad_d_12_the_best_house_for_living_purpose-16928109-160-4.html,House,50000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,4,4 Marla,4,1089,For Rent,4,6/28/2019,2019,6,28,Marz Enterprises,Zaheer Ahmed
16928307,160,https://www.zameen.com/Property/islamabad_d_12_the_best_portion_for_living_purpose-16928307-160-4.html,Upper Portion,70000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,14 Marla,14,3811.51,For Rent,3,6/26/2019,2019,6,26,Prime Estate,Nadeem
16928314,160,https://www.zameen.com/Property/islamabad_d_12_the_best_portion_for_living_purpose-16928314-160-4.html,Upper Portion,68000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,3,14 Marla,14,3811.51,For Rent,3,6/28/2019,2019,6,28,Prime Estate,Nadeem
16959928,3154,https://www.zameen.com/Property/d_12_d_12_1_flat_is_available_for_sale-16959928-3154-1.html,Flat,5000000,Medium,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.697565,72.944241,0,14.2 Marla,14.2,3865.96,For Sale,3,6/27/2019,2019,6,27,Alpha Estate,M. Saleem
16962587,160,https://www.zameen.com/Property/islamabad_d_12_5_marla_brand_new_house_for_sale_in_d12-16962587-160-1.html,House,21000000,High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,5,5 Marla,5,1361.25,For Sale,4,6/27/2019,2019,6,27,Greystone Construction (Pvt. ) Ltd,Cdr R Abid H KhanAkif Malik
16973682,160,https://www.zameen.com/Property/islamabad_d_12_40x80_triple_storey_house_for_sale_in_d_12_2-16973682-160-1.html,House,47000000,Very High,D-12,Islamabad,Islamabad Capital,"D-12, Islamabad, Islamabad Capital",33.701636,72.948532,6,12 Marla,12,3267.01,For Sale,6,6/29/2019,2019,6,29,,
